Season,Team,Player Names
2000,Aston Villa,"['David James', 'Neil Cutler', 'Peter Enckelman', 'Ugo Ehiogu', 'Gareth Southgate', 'Alpay Özalan', 'Aaron Lescott', 'Alan Wright', 'Steve Staunton', 'Mark Delaney', 'Jonathan Bewers', 'George Boateng', 'Ian Taylor', 'Gareth Barry', 'Jlloyd Samuel', 'Michael Standing', 'Lee Hendrie', 'Thomas Hitzlsperger', 'Stephen Cooke', 'Paul Merson', 'Steve Stone', 'John McGrath', 'Alan Thompson', 'David Ginola', 'Stefan Moore', 'Richard Walker', 'Juan Pablo Ángel', 'Dion Dublin', 'Julian Joachim', 'Luc Nilis', 'Darius Vassell', 'Gilles De Bilde']"
2000,Bradford City,"['Neville Southall', 'Gary Walsh', 'Matt Clarke', 'Jon Worsnop', 'Aidan Davison', 'Matt Lawrence', 'David Wetherall', 'Ashley Westwood', 'Robert Molenaar', ""Andrew O'Brien"", 'Wayne Jacobs', 'Mark Bower', 'Lewis Emanuel', 'Ian Nolan', 'Lee Todd', 'Andy Myers', 'Gunnar Halle', 'Peter Atherton', 'Dan Petrescu', 'Adam Hardy', 'Ben Jones', 'Andy Lee', 'Craig Fishlock', 'Gary Locke', 'Stuart McCall', 'Gareth Whalley', 'Scott Kerr', 'Billy McKinlay', 'David Hopkin', 'Lee Sharpe', 'Gareth Grant', 'Peter Beagrie', 'Jamie Lawrence', 'Robbie Blake', 'Benny Carbone', 'Eoin Jess', 'Lee Mills', 'Ashley Ward', 'Dean Windass', 'Isaiah Rankin', 'Dean Saunders', 'Stan Collymore']"
2000,Tottenham Hotspur,"['Ian Walker', 'Neil Sullivan', 'Hans Segers', 'Gavin Kelly', 'Jon Jönsson', 'Sol Campbell', 'Chris Perry', 'Gary Doherty', 'Ledley King', 'Anthony Gardner', 'Alton Thelwell', 'Ramon Vega', 'Ian Hillier', 'Mauricio Taricco', 'Ben Thatcher', 'Stephen Carr', 'Luke Young', 'John Piercy', 'Steffen Freund', 'Tim Sherwood', 'Johnnie Jackson', 'Darren Anderton', 'Stephen Clemence', 'Simon Davies', 'Matthew Etherington', 'Öyvind Leonhardsen', 'Dave McEwen', 'Willem Korsten', 'José Dominguez', 'Ruel Fox', 'Steffen Iversen', 'Sergiy Rebrov', 'Les Ferdinand', 'Chris Armstrong', 'Andy Booth', 'Yannick Kamanan']"
2000,FC Chelsea,"['Ed de Goey', 'Kevin Hitchcock', 'Carlo Cudicini', 'Mark Bosnich', 'Jes Högh', 'Frank Leboeuf', 'Marcel Desailly', 'Winston Bogarde', 'Pierre Issa', 'Bernard Lambourde', 'John Terry', 'Émerson Thome', 'Celestine Babayaro', 'Graeme Le Saux', 'Jon Harley', 'Christian Panucci', 'Mario Melchiot', 'Albert Ferrer', 'Danny Slatter', 'Slavisa Jokanovic', 'Robert Wolleaston', 'Dennis Wise', 'Roberto Di Matteo', 'Jody Morris', 'Samuele Dalla Bona', 'Neil Barrett', 'Gabriele Ambrosetti', 'Gustavo Poyet', 'Jesper Grönkjaer', 'Mario Stanic', 'Gianfranco Zola', 'Sam Parkin', 'Pierluigi Casiraghi', 'Jimmy Floyd Hasselbaink', 'Tore André Flo', 'Eidur Gudjohnsen', 'Rati Aleksidze', 'Mikael Forssell']"
2000,FC Southampton,"['Chris Sharpe', 'Paul Jones', 'Neil Moss', 'Scott Bevan', 'Paul Jones', 'Claus Lundekvam', 'Dean Richards', 'Tahar El Khalej', 'Garry Monk', 'John Beresford', 'Francis Benali', 'Wayne Bridge', 'Jason Dodd', 'Dan Petrescu', 'Cléber Chalá', 'Matt Oakley', 'Mark Draper', 'Jo Tessem', 'Adrián Cáceres', 'Kevin Gibbens', 'Imants Bleidelis', 'Chris Marsden', 'Hassan Kachloul', 'Matt Le Tissier', 'Trond Soltvedt', 'Dani Rodrigues', 'Stuart Ripley', 'Scott McDonald', 'Kevin Davies', 'Uwe Rösler', 'James Beattie', 'Marians Pahars']"
2000,FC Middlesbrough,"['Brad Jones', 'Mark Crossley', 'Marlon Beresford', 'Sam Russell', 'Gary Walsh', 'Mark Schwarzer', 'Jason Gavin', 'Gary Pallister', 'Steve Vickers', 'Ugo Ehiogu', 'Dean Gordon', 'Colin Cooper', 'Curtis Fleming', 'Gianluca Festa', 'Robbie Stockdale', 'Luke Wilkshire', 'Phil Stamp', 'Mark Summerbell', 'Sean Kilgannon', 'Christian Karembeu', 'Paul Ince', 'Paul Okon', 'Mark Hudson', 'Robbie Mustoe', 'Neil Maddison', 'Carlos Marinelli', ""Keith O'Neill"", 'Anthony Ormerod', 'Andy Campbell', 'Brian Deane', 'Joseph-Désiré Job', 'Dean Windass', 'Alen Boksic', 'Hámilton Ricard', 'Noel Whelan']"
2000,Manchester City,"['Nicky Weaver', 'Tommy Wright', 'Carlo Nash', 'Richard McKinney', 'Brian Murphy', 'Richard Jobson', 'Gerard Wiekens', 'Andy Morrison', 'Spencer Prior', 'Paul Ritchie', 'Richard Dunne', 'Steve Howey', 'Rhys Day', 'Danny Tiatto', 'Mark Kennedy', 'Danny Granville', 'Richard Edghill', 'Laurent Charvet', 'Jim Whitley', 'Lee Crooks', 'Kevin Horlock', 'Alf-Inge Haaland', 'Jeff Whitley', 'Tony Grant', 'Dickson Etuhu', 'Ian Bishop', 'Terry Dunfield', 'Terry Cooke', 'Andrey Kanchelskis', 'Shaun Holmes', 'Darren Huckerby', 'Shaun Wright-Phillips', 'Dino Toppmöller', 'Paul Dickov', 'Shaun Goater', 'Danny Allsopp', 'Gareth Taylor', 'George Weah', 'Paulo Wanchope', 'Egil Östenstad']"
2000,Ipswich Town,"['Richard Wright', 'Mike Salmon', 'Keith Branagan', 'James Pullen', 'Tony Mowbray', 'John McGreal', 'Mark Venus', 'Richard Naylor', 'John Scales', 'Wayne Brown', 'Jean-Manuel Thétis', 'Titus Bramble', 'Hermann Hreidarsson', 'Jamie Clapham', 'Gary Croft', 'Amir Karic', 'Chris Makin', 'Fabian Wilnis', 'Nabil Abidallah', 'Matt Holland', 'Jermaine Wright', 'Jim Magilton', 'Martijn Reuser', 'Sean Friars', 'David Johnson', 'James Scowcroft', 'Marcus Stewart', 'Richard Logan', 'Alun Armstrong', 'Mark Burchill']"
2000,AFC Sunderland,"['Andy Marriott', 'Thomas Sörensen', 'Jürgen Macho', 'Michael Ingham', 'Patrice Carteron', 'Steve Bould', 'Paul Butler', 'Jody Craddock', 'Stanislav Varga', 'Émerson Thome', 'Ben Clark', 'Chris Makin', 'Michael Gray', 'Carsten Fredgaard', 'George McCartney', 'Darren Holloway', 'Darren Williams', 'Éric Roy', 'Paul Thirlwell', 'Gavin McCann', 'Alex Rae', 'Stefan Schwarz', 'Chris Lumsdon', 'John Oster', 'Julio Arca', 'Jonjo Dickman', 'Thomas Butler', 'Kevin Kilbane', 'Don Hutchison', 'Neil Wainwright', 'Tom Peeters', 'Brendan McGill', 'Niall Quinn', 'Kevin Phillips', 'Danny Dichio', 'Michael Reddy', 'Milton Núñez', 'Kevin Kyle']"
2000,Newcastle United,"['Jonny Brain', 'Shay Given', 'Steve Harper', 'John Karelse', 'Gary Caldwell', 'Steven Caldwell', 'Alain Goma', ""Andrew O'Brien"", 'Marcelino', 'Aaron Hughes', 'Nikolaos Dabizas', 'Didier Domi', 'Wayne Quinn', 'Olivier Bernard', 'Warren Barton', 'Andy Griffin', 'Laurent Charvet', 'Steve Istead', 'Clarence Acuña', 'Brian Kerr', 'Rob Lee', 'Diego Gavilán', 'Jamie McClen', 'Des Hamilton', 'Kieron Dyer', 'Nolberto Solano', 'James Coppinger', 'Gary Speed', 'Stephen Glass', 'Christian Bassedas', 'Kevin Gallacher', 'Pablo Bonvín', 'Alan Shearer', 'Carl Cort', 'Carlos Daniel Cordone', 'Lomana LuaLua', 'Shola Ameobi']"
