Season,Team,Player Names
2020,1.FSV Mainz 05,"['Florian Müller', 'Robin Zentner', 'Finn Dahmen', 'Omer Hanin', 'Marius Liesegang', 'Jerry St. Juste', 'Moussa Niakhaté', 'Edimilson Fernandes', 'Stefan Bell', 'Alexander Hack', 'Luca Kilian', 'Dimitri Lavalée', 'Aarón Martín', 'Ridle Baku', 'Danny da Costa', 'Phillipp Mwene', 'Daniel Brosinski', 'Dominik Kohr', 'Niklas Tauer', 'Leandro Barreiro', 'Pierre Kunde', 'Danny Latza', 'Merveille Papela', 'Jean-Paul Boëtius', 'Kevin Stöger', 'Paul Nebel', 'Levin Öztunali', 'Issah Abass', 'Jean-Philippe Mateta', 'Robin Quaison', 'Jonathan Burkardt', 'Karim Onisiwo', 'Robert Glatzel', 'Dong-won Ji', 'Ádám Szalai', 'Marlon Mustapha']"
2020,SC Freiburg,"['Florian Müller', 'Mark Flekken', 'Benjamin Uphoff', 'Niclas Thiede', 'Philipp Lienhart', 'Keven Schlotterbeck', 'Dominique Heintz', 'Manuel Gulde', 'Luca Itter', 'Christian Günter', 'Jonathan Schmid', 'Lukas Kübler', 'Kiliann Sildillia', 'Baptiste Santamaria', 'Nicolas Höfler', 'Yannik Keitel', 'Amir Abrashi', 'Janik Haberer', 'Lino Tempelmann', 'Carlo Boukhalfa', 'Guus Til', 'Woo-yeong Jeong', 'Vincenzo Grifo', 'Nishan Burkart', 'Roland Sallai', 'Chang-hoon Kwon', 'Kevin Schade', 'Ermedin Demirovic', 'Lucas Höler', 'Nils Petersen']"
2020,FC Schalke 04,"['Frederik Rönnow', 'Markus Schubert', 'Ralf Fährmann', 'Michael Langer', 'Sören Ahlers', 'Ozan Kabak', 'Sead Kolasinac', 'Matija Nastasic', 'Malick Thiaw', 'Salif Sané', 'Shkodran Mustafi', 'Timo Becker', 'Henning Matriciani', 'Kerim Calhanoglu', 'Hamza Mendyl', 'Bastian Oczipka', 'Levent Mercan', 'Vasilios Pavlidis', 'Brooklyn Ezeh', 'William', 'Kilian Ludewig', 'Mehmet Aydin', 'Omar Mascarell', 'Sebastian Rudy', 'Benjamin Stambouli', 'Florian Flick', 'Jimmy Kaparos', 'Suat Serdar', 'Can Bozdogan', 'Nabil Bentaleb', 'Nassim Boujellab', 'Amine Harit', 'Alessandro Schöpf', 'Blendi Idrizi', 'Mikail Maden', 'Rabbi Matondo', 'Gonçalo Paciência', 'Matthew Hoppe', 'Mark Uth', 'Benito Raman', 'Ahmed Kutucu', 'Steven Skrzybski', 'Klaas-Jan Huntelaar', 'Vedad Ibisevic', 'Luca Schuler']"
2020,1.FC Köln,"['Timo Horn', 'Ron-Robert Zieler', 'Julian Krahl', 'Sebastiaan Bornauw', 'Jorge Meré', 'Sava-Arandjel Cestic', 'Rafael Czichos', 'Frederik Sörensen', 'Robert Voloder', 'João Queirós', 'Ismail Jakobs', 'Noah Katterbach', 'Jonas Hector', 'Jannes Horn', 'Marius Wolf', 'Kingsley Ehizibue', 'Benno Schmitz', 'Ellyes Skhiri', 'Salih Özcan', 'Marco Höger', 'Elvis Rexhbecaj', 'Jens Castrop', 'Ondrej Duda', 'Max Meyer', 'Dominick Drexler', 'Emmanuel Dennis', 'Florian Kainz', 'Marvin Obuz', 'Jan Thielmann', 'Dimitrios Limnios', 'Christian Clemens', 'Jhon Córdoba', 'Sebastian Andersson', 'Anthony Modeste', 'Tolu Arokodare', 'Tim Lemperle']"
2020,SV Werder Bremen,"['Jiri Pavlenka', 'Michael Zetterer', 'Stefanos Kapino', 'Luca Plogmann', 'Dudu', 'Marco Friedl', 'Milos Veljkovic', 'Ömer Toprak', 'Niklas Moisander', 'Ludwig Augustinsson', 'Felix Agu', 'Theodor Gebre Selassie', 'Patrick Erras', 'Christian Groß', 'Ilia Gruev', 'Philipp Bargfrede', 'Julian Rieckmann', 'Davy Klaassen', 'Maximilian Eggestein', 'Kevin Möhwald', 'Jean Manuel Mbom', 'Leonardo Bittencourt', 'Romano Schmid', 'Tahith Chong', 'Oscar Schönfelder', 'Milot Rashica', 'Eren Dinkci', 'Josh Sargent', 'Niclas Füllkrug', 'Johannes Eggestein', 'Davie Selke', 'Nick Woltemade', 'Yuya Osako']"
2020,FC Augsburg,"['Rafal Gikiewicz', 'Tomas Koubek', 'Benjamin Leneis', 'Felix Uduokhai', 'Jeffrey Gouweleeuw', 'Reece Oxford', 'Marek Suchy', 'Iago', 'Mads Pedersen', 'Robert Gumny', 'Raphael Framberger', 'Rani Khedira', 'Carlos Gruezo', 'Tobias Strobl', 'László Bénes', 'Felix Götze', 'Jan Moravek', 'Tim Civeja', 'Fredrik Jensen', 'Lukas Petkov', 'Rubén Vargas', 'Marco Richter', 'André Hahn', 'Daniel Caligiuri', 'Noah Joel Sarenren Bazee', 'Dion Berisha', 'Florian Niederlechner', 'Michael Gregoritsch', 'Alfred Finnbogason', 'Julian Schieber', 'Seong-hoon Cheon']"
2020,1.FC Union Berlin,"['Loris Karius', 'Andreas Luthe', 'Lennart Moser', 'Jakob Busk', 'Nikolai Kemlein', 'Marvin Friedrich', 'Nico Schlotterbeck', 'Robin Knoche', 'Florian Hübner', 'Mathis Bruns', 'Christopher Lenz', 'Niko Gießelmann', 'Julian Ryerson', 'Christopher Trimmel', 'Sebastian Griesbeck', 'Robert Andrich', 'Grischa Prömel', 'Christian Gentner', 'Tim Maciejewski', 'Fabio Schneider', 'Keita Endo', 'Marius Bülter', 'Joshua Mees', 'Akaki Gogia', 'Max Kruse', 'Sheraldo Becker', 'Leon Dajaku', 'Taiwo Awoniyi', 'Marcus Ingvartsen', 'Joel Pohjanpalo', 'Petar Musa', 'Cedric Teuchert', 'Anthony Ujah']"
2020,Arminia Bielefeld,"['Stefan Ortega', 'Oscar Linnér', 'Nikolai Rehnen', 'Arne Schulz', 'Amos Pieper', 'Joakim Nilsson', 'Mike van der Hoorn', 'Nathan de Medina', 'Brian Behrendt', 'Anderson Lucoqui', 'Jacob Barrett Laursen', 'Cédric Brunner', 'Manuel Prietl', 'Fabian Kunze', 'Julian Frommann', 'Arne Maier', 'Marcel Hartel', 'Nils Seufert', 'Reinhold Yabo', 'Jomaine Consbruch', 'Michel Vlap', 'Masaya Okugawa', 'Ritsu Doan', 'Christian Gebauer', 'Cebio Soukou', 'Sebastian Müller', 'Noel Niemann', 'Vladislav Cherny', 'Jóan Símun Edmundsson', 'Andreas Voglsammer', 'Sergio Córdova', 'Fabian Klos', 'Sven Schipplock']"
2021,FC Bayern München,"['Manuel Neuer', 'Sven Ulreich', 'Christian Früchtl', 'Ron-Thorben Hoffmann', 'Lucas Hernández', 'Dayot Upamecano', 'Niklas Süle', 'Benjamin Pavard', 'Tanguy Nianzou', 'Chris Richards', 'Bright Arrey-Mbi', 'Jamie Lawrence', 'Alphonso Davies', 'Omar Richards', 'Josip Stanisic', 'Bouna Sarr', 'Joshua Kimmich', 'Marc Roca', 'Nicolas Feldhahn', 'Leon Goretzka', 'Marcel Sabitzer', 'Corentin Tolisso', 'Michaël Cuisance', 'Timo Kern', 'Jamal Musiala', 'Paul Wanner', 'Malik Tillman', 'Lucas Copado', 'Kingsley Coman', 'Gabriel Vidovic', 'Nemanja Motika', 'Arijon Ibrahimovic', 'Serge Gnabry', 'Leroy Sané', 'Taylor Booth', 'Thomas Müller', 'Robert Lewandowski', 'Eric Maxim Choupo-Moting']"
2021,Borussia Dortmund,"['Gregor Kobel', 'Luca Unbehaun', 'Roman Bürki', 'Marwin Hitz', 'Stefan Drljaca', 'Silas Ostrzinski', 'Manuel Akanji', 'Dan-Axel Zagadou', 'Mats Hummels', 'Marin Pongracic', 'Soumaïla Coulibaly', 'Antonios Papadopoulos', 'Raphaël Guerreiro', 'Nico Schulz', 'Tom Rothe', 'Marcel Schmelzer', 'Thomas Meunier', 'Marius Wolf', 'Mateu Morey', 'Felix Passlack', 'Lion Semic', 'Emre Can', 'Axel Witsel', 'Abdoulaye Kamara', 'Lennard Maloney', 'Jude Bellingham', 'Mahmoud Dahoud', 'Thomas Delaney', 'Tobias Raschl', 'Ansgar Knauff', 'Giovanni Reyna', 'Julian Brandt', 'Marco Reus', 'Reinier', 'Immanuel Pherai', 'Göktan Gürpüz', 'Thorgan Hazard', 'Jamie Bynoe-Gittens', 'Donyell Malen', 'Justin Njinmah', 'Marco Pasalic', 'Erling Haaland', 'Youssoufa Moukoko', 'Steffen Tigges']"
