Season,Team,Player Names
2000,FC Stade Rennes,"['Bernard Lama', 'Fabien Debec', 'Florian Lucchini', 'Christophe Revel', 'César', 'Dominique Arribagé', 'Lamine Diatta', 'Julien Escudé', 'Christian Bassila', 'Grégory Paisley', 'Anthony Réveillère', 'Philippe Delaye', 'Vânder', 'Olivier Echouafni', 'Stéphane Grégoire', ""Amadou Makhtar N'Diaye"", 'Yoann Bigné', 'Cédric Bardon', 'Christophe Le Roux', 'Jean Félix Dorothée', 'Jocelyn Gourvennec', 'Fabrice Fernandes', 'Gaël Danic', 'Mickaël Citony', 'Mario Turdó', 'Luís Fabiano', 'Lucas', 'Cyril Chapuis']"
2000,RC Lens,"['Guillaume Warmuz', 'Sébastien Chabbert', 'Sébastien Hamel', 'Cédric Berthelin', 'Franck Dumas', 'José-Karl Pierre-Fanfan', 'Valérien Ismaël', 'Cyril Rool', 'Franck Queudrue', 'Guillaume Bouisset', 'Eric Sikora', 'Ferdinand Coly', 'Patrick Barul', 'Randria', 'Jocelyn Blanchard', 'Radek Bejbl', 'Nenad Grozdic', 'Franck Chaussidière', 'Stéphane Collet', 'Mickaël Debève', 'Philippe Brunel', 'Antoine Sibierski', 'Charles-Edouard Coridon', 'Lamine Sakho', 'Daniel Moreira', 'Mathieu Bucher', 'El-Hadji Diouf', 'Esteban Fuertes']"
2000,AJ Auxerre,"['Fabien Cool', 'Ronan Le Crom', 'Tomasz Klos', 'Cyrille Magnier', 'Jean-Alain Boumsong', 'Pedro Reyes', 'Philippe Mexès', 'Éric Assati', 'Jean-Sébastien Jaurès', 'Laurent Ciechelski', 'Frédéric Jay', 'Johan Radet', 'Jean-Joël Perrier-Doumbé', 'Kuami Agboh', 'Teemu Tainio', 'Cyril Jeunechamp', 'Amdy Faye', 'Lionel Mathis', 'Pantxi Sirieix', 'Pierre Deblock', 'Nicolas Marin', 'Alexandre Comisetti', 'Moussa Saïb', 'Stéphane Carnot', 'David Vandenbossche', 'Olivier Kapo', 'Khalilou Fadiga', ""Stéphane Guivarc'h"", 'Djibril Cissé']"
2000,EA Guingamp,"['Ronald Thomas', 'Eric Loussouarn', 'Gérard Gnanhouan', 'Marek Jozwiak', 'Pierre-Emmanuel Bourdeau', 'Blaise Kouassi', 'Jonathan Joseph-Augustin', 'Hubert Fournier', 'Auriol Guillaume', 'Laurent Guyot', 'Romain Ferrier', 'Jérôme Foulon', 'Morten Nielsen', 'Claude Michel', 'Yannick Baret', 'Sylvain Deplace', 'Fabrice Colleau', 'Laurent Hervé', 'Abdelhafid Tasfaout', 'Stéphane Carnot', 'Florent Malouda', 'Edwin van Ankeren', 'Fabrice Fiorèse', 'Fabrice Pancrate', 'Samuel Michel', 'Bruno Rodriguez', 'Kemal Bourhani']"
2000,FC Metz,"['Faryd Mondragón', 'David Klein', 'Olivier Robin', 'Johan Liébus', 'Sébastien Chabbert', 'Sylvain Kastendeuch', 'Sylvain Marchal', 'Stéphane Borbiconi', 'David Régis', 'Philippe Gaillot', 'Schumann Bah', 'Pascal Pierre', 'Sébastien Schemmel', 'Geoffray Toyes', 'Vinh Long Willemin', ""Patricio D'Amico"", 'Mario Espartero', 'Ludovic Asuar', 'Grégory Proment', 'Stéphane Morisot', 'Grégory Leca', 'Didier Lang', 'Christophe Bastien', 'Danny Boffin', 'Frédéric Meyrieu', 'Gunter Van Handenhoven', 'Jonathan Jäger', 'Alexandre Frutos', 'Sergiy Skachenko', 'Tressor Moreno', 'Djima Oyawolé', 'Gérald Baticle', 'Eric Hassli']"
2000,FC Nantes,"['Mickaël Landreau', 'Willy Grondin', 'Jérémie Guy', 'Néstor Fabbri', 'Nicolas Gillet', 'Pascal Delhommeau', 'Mário Silva', 'Sylvain Armand', 'Nicolas Laspalles', 'Nicolas Savinaud', 'Yves Deroff', 'Sébastien Macé', 'Loïc Pailleres', 'Sébastien Piocelle', 'Mathieu Berson', 'Charles Devineau', 'Mehdi Leroy', 'Goran Rubil', 'Salomon Olembé', 'Éric Carrière', 'Stéphane Ziani', 'Olivier Monterrubio', 'Alioune Touré', 'Frédéric Da Rocha', 'Hassan Ahamada', 'Wilfried Dalmat', 'Marama Vahirua', 'Viorel Moldovan', 'Pierre Aristouy', 'Grégory Pujol']"
2000,FC Toulouse,"['Christophe Revault', 'Damien Rascle', 'Fabien Audard', 'Hervé Alicarte', 'Cédric Uras', 'William Prunier', 'Bobo Balde', 'Bruno Carotti', 'Julien Baudet', 'Mathieu Puig', 'Stéphane Lièvre', 'Louis Gomis', 'Cyril Dubroca', 'Walid Regragui', 'Nicolas Paviot', 'Hamada Jambay', 'Nasser Hakkar', 'Jean-Christophe Rouvière', 'Raúl Cascini', 'Mehdi Nafti', 'Nicolas Seube', 'Oussama Souaidy', 'Sebastián Romero', 'Nicolas Dieuze', 'Fabrice Jau', 'Reynald Pedros', 'Laurent Courtois', 'Thierry Moreau', 'José Javier Barkero', 'Darío Cabrol', 'Samuel Ipoua', 'Eugène Dadi', 'Vladimir Petrovic', 'Víctor Bonilla', 'Edwin Congo', 'Marc Libbra']"
2000,Olympique Lyon,"['Grégory Coupet', 'Angelo Hugues', 'Nicolas Puydebois', 'Florent Laville', 'Jacek Bak', 'Patrick Müller', 'Jérémie Bréchet', 'Cláudio Caçapa', 'Serge Blanc', 'Christophe Delmotte', 'Eric Deflandre', 'Jean-Marc Chanelet', 'Fréderic Ribeiro', 'Edmílson', 'Philippe Violeau', 'Marc-Vivien Foé', 'David Linarès', 'Vikash Dhorasoo', 'Steed Malbranque', 'Florent Balmont', 'Pierre Laigle', 'Sidney Govou', 'Frédéric Fouret', 'Steve Marlet', 'Sonny Anderson', 'Tony Vairelles', 'Patrice Loko', 'Julien Viale']"
2001,Olympique Lyon,"['Grégory Coupet', 'Angelo Hugues', 'Nicolas Puydebois', 'Florent Laville', 'Jacek Bak', 'Jérémie Bréchet', 'Patrick Müller', 'Cláudio Caçapa', 'Christophe Delmotte', 'Laurent Montoya', 'Eric Deflandre', 'Jean-Marc Chanelet', 'Edmílson', 'Philippe Violeau', 'Marc-Vivien Foé', 'David Linarès', 'Florent Balmont', 'Pierre Laigle', 'Bryan Bergougnoux', 'Éric Carrière', 'Juninho Pernambucano', 'Alexandre Hauw', 'Sidney Govou', 'Tony Vairelles', 'Steve Marlet', 'Sonny Anderson', 'Péguy Luyindula', 'Frédéric Née', 'Julien Viale']"
2001,RC Lens,"['Guillaume Warmuz', 'Sébastien Chabbert', 'Charles Itandje', 'Adama Coulibaly', 'Jacek Bak', 'Jean-Guy Wallemme', 'Yoann Lachor', 'Zoumana Camara', 'Djimi Traoré', 'Valérien Ismaël', 'Jérôme Deplanche', 'Franck Queudrue', 'Eric Sikora', 'Ferdinand Coly', 'Patrick Barul', 'Daouda Jabi', 'Jocelyn Blanchard', 'Pape Sarr', 'Radek Bejbl', 'Papa Bouba Diop', 'Mickaël Debève', 'Stéphane Pédron', 'Antoine Sibierski', 'Charles-Edouard Coridon', 'Ludovic Delporte', 'Lamine Sakho', 'Daniel Moreira', 'Pape Thiaw', 'Esteban Fuertes', 'Mathieu Bucher', 'El-Hadji Diouf', 'Bruno Rodriguez']"
