Season,Team,Player Names
2000,SV Werder Bremen,"['Michael Jürgen', 'Frank Rost', 'Stefan Brasas', 'Pascal Borel', 'Thiago', 'Frank Verlaat', 'Mladen Krstajic', 'Mike Barten', 'Björn Schierenbeck', 'Andree Wiedener', 'Viktor Skrypnyk', 'Dieter Frey', 'Razundara Tjikuzu', 'Paul Stalteri', 'Lars Schmedes', 'Fabian Ernst', 'Raphael Wicky', 'Dieter Eilts', 'Frank Baumann', 'Bernhard Trares', 'Ivica Banovic', 'Torsten Frings', 'Christoph Dabrowski', 'Simon Rolfes', 'Danny Fütterer', 'Yuriy Maksymov', 'Tim Borowski', 'Dirk Flock', 'Andreas Herzog', 'Marco Bode', 'Enrico Kern', 'Rade Bogdanovic', 'Claudio Pizarro', 'Dong-gook Lee', 'Aílton']"
2000,Eintracht Frankfurt,"['Christian Marggraf', 'Oka Nikolov', 'Dirk Heinen', 'Sven Schmitt', 'Andreas Menger', 'Jens Rasiejewski', 'Petar Hubchev', 'Jean-Paul Ndjoumeck Ndeki', 'Torsten Kracht', 'Uwe Schneider', 'Alexander Kutschera', 'Uwe Bindewald', 'Karel Rada', 'Vladimir Maljkovic', 'Tommy Berntsen', 'Erol Bulut', 'Giuseppe Gemiti', 'Serge Branco', 'Gerd Wimmer', 'Markus Lösch', 'Alexander Schur', 'Alexander Rosen', 'Michael Mutzel', 'Christoph Preuß', 'Jermaine Jones', 'Frank Gerster', 'Peter Deißenberger', 'Stefan Zinnow', 'Thomas Zampach', 'Marco Gebhardt', 'Ralf Weber', 'Thomas Sobotzik', 'Horst Heldt', 'Patrick Falk', 'Rowan Hendricks', 'Rolf-Christel Guié-Mien', 'Albert Streit', 'Jan Aage Fjörtoft', 'Bachirou Salou', 'Pawel Kryszalowicz', 'Thomas Reichenberger', 'Chen Yang', 'Ralf Schmitt', 'Sasa Ciric']"
2000,FC Schalke 04,"['Oliver Reck', 'Frode Grodås', 'Toni Tapalovic', 'Yves Eigenrauch', 'Tomasz Hajto', 'Marco van Hoogdalem', 'Tomasz Waldoch', 'Markus Happe', 'Johan de Kock', 'Sladan Peric', 'Nico Van Kerckhoven', 'Benjamin Koch', 'Sven Kmetsch', 'Ünal Alpugan', 'Niels Oude Kamphuis', 'Jiri Nemec', 'Benjamin Wingerter', 'Christian Mikolajczak', 'Olaf Thon', 'Sérgio da Silva Pinto', 'Radoslav Latal', 'Oliver Held', 'Jörg Böhme', 'Mike Büskens', 'Thorsten Legat', 'Andreas Möller', 'Tamás Hajnal', 'Youri Mulder', 'Ebbe Sand', 'Gerald Asamoah', 'Emile Mpenza', 'Ali Göl']"
2000,FC Hansa Rostock,"['Martin Pieckenhagen', 'Daniel Klewer', 'Perry Bräutigam', 'Oliver Radseck', 'Marco Zallmann', 'Sven Benken', 'Andreas Jakobsson', 'Kai Oswald', 'René Schneider', 'Björn Laars', 'Timo Lange', 'Rayk Schröder', 'Tobias Preuß', 'Hilmar Weilandt', 'Peter Wibran', 'Marcus Lantz', 'René Rydlewicz', 'Yasser Radwan', 'Mohamed Emara', 'Matthias Breitkreutz', 'Christian Brand', 'Slawomir Majak', 'Kreso Kovacec', 'Henri Fuchs', 'Bachirou Salou', 'Magnus Arvidsson', 'Abdelaziz Ahanfouf', 'Victor Agali', 'Steffen Baumgart', 'Marco Vorbeck']"
2000,VfL Wolfsburg,"['Claus Reitmaier', 'Holger Hiemann', 'Stephan Loboué', 'Thomas Hengen', 'Emeka Ifejiagwa', ""Brian O'Neil"", 'Claus Thomsen', 'Waldemar Kryger', 'Marino Biliskov', 'Stefan Schnoor', 'Marcel Maltritz', 'Stefan Lorenz', 'Patrick Weiser', 'Zoltan Sebescen', 'Andreas Voss', 'Krzysztof Nowak', 'Dorinel Munteanu', 'Dietmar Kühbauer', 'Charles Akonnor', 'Frank Greiner', 'Sven Müller', 'Benjamin Siegert', 'Martin Wagner', 'Andrzej Juskowiak', 'Tomislav Maric', 'Jürgen Rische', 'Jonathan Akpoborie', 'Markus Feldhoff', 'Mike Busch', 'Joshua Kennedy']"
2000,VfL Bochum,"['Rein van Duijnhoven', 'Thomas Ernst', 'Christian Vander', 'Martin Meichelbeck', 'Axel Sundermann', 'Damir Milinovic', 'Hilko Ristau', 'Zoran Mamic', 'Frank Fahrenhorst', 'Rouven Schröder', 'Sergey Mandreko', 'Thomas Reis', 'Samir Toplak', 'Thomas Stickroth', 'Michael Bemben', 'Sören Colding', 'Sebastian Schindzielorz', 'Mirko Dickhaut', 'Peter Peschel', 'Ante Covic', 'Mike Rietpietsch', 'Paul Freier', 'Matthias Lust', 'Olaf Schreiber', 'Yildiray Bastürk', 'Delron Buckley', 'Thomas Christiansen', 'René Müller', 'Achim Weber', 'Henryk Baluszynski', 'Marijo Maric', 'Zdravko Drincic', 'Sascha Siebert']"
2000,Hertha BSC,"['Gábor Király', 'Christian Fiedler', 'Michael Eckhardt', 'Tomasz Kuszczak', 'Rui Marques', 'Dick Van Burik', 'Konstantinos Konstantinidis', 'Josip Simunic', 'Tony Sanneh', 'Marko Rehmer', 'Eyjólfur Sverrisson', 'Sixten Veit', 'Pál Dárdai', 'Andreas Schmidt', 'René Tretschok', 'Rob Maas', 'Thorben Marx', 'Sebastian Deisler', 'Michael Hartmann', 'Benjamin Köhler', 'Dariusz Wosz', 'Stefan Beinlich', 'Bryan Roy', 'Kai Michalke', 'Andreas Thom', 'Alex Alves', 'Ali Daei', 'Michael Preetz', 'Sead Zilic', 'Piotr Reiss']"
2000,FC Energie Cottbus,"['Thomas Köhler', 'Dr. Gunnar Berntsen', 'Tomislav Piplica', 'Vilmos Sebők', 'Christian Beeck', 'Witold Wawrzyczek', 'Rudi Vata', 'János Mátyus', 'René Trehkopf', 'Faruk Hujdurovic', 'Martin Neubert', 'Kevin McKenna', 'Tsanko Tsvetanov', 'Hamid Termina', 'Jörg Scherbe', 'Bruno Akrapovic', 'Patryk Rachwal', 'Ronny Thielemann', 'Moussa Latoundji', 'Jonny Rödlund', 'Laurentiu Reghecampf', 'Andrzej Kobylanski', 'Toni Micevski', 'Steffen Heidrich', 'Vasile Miriuta', 'Toralf Konetzke', 'Mohamed Lakhouil', 'Franklin Bittencourt', 'Antun Labak', 'Ferenc Horváth', 'Sabin Ilie', 'Thomas Neubert', 'Sebastian Helbig']"
2001,Borussia Dortmund,"['Jens Lehmann', 'Dr. Philipp Laux', 'Alexander Kuschmann', 'Michael Ratajczak', 'Christian Wörns', 'Jürgen Kohler', 'Christoph Metzelder', 'Ahmed Madouni', 'Florian Thorwart', 'Jörg Heinrich', 'Dedê', 'Evanilson', 'Guy Demel', 'Miroslav Stevic', 'Sunday Oliseh', 'Sebastian Kehl', 'Florian Kringe', 'Stefan Reuter', 'Sead Kapetanovic', 'Bashiru Gambo', 'Tomas Rosicky', 'Lars Ricken', 'Otto Addo', 'Francis Bugri', 'Giuseppe Reina', 'David Odonkor', 'Jan Derek Sørensen', 'Jan Koller', 'Fredi Bobic', 'Heiko Herrlich', 'Ewerthon', 'Márcio Amoroso', 'Conor Casey', 'Emmanuel Krontiris']"
2001,FC Bayern München,"['Oliver Kahn', 'Bernd Dreher', 'Stefan Wessels', 'Jan Schlösser', 'Samuel Kuffour', 'Robert Kovac', 'Thomas Linke', 'Bixente Lizarazu', 'Michael Tarnat', 'Stephan Kling', 'Willy Sagnol', 'Pablo Thiam', 'Niko Kovac', 'Jens Jeremies', 'Thorsten Fink', 'Owen Hargreaves', 'Alou Diarra', 'Ciriaco Sforza', 'Stefan Effenberg', 'Markus Feulner', 'Hasan Salihamidzic', 'Patrick Mölzl', 'Mehmet Scholl', 'Steffen Hofmann', 'Paulo Sérgio', 'Florian Heller', 'Antonio Di Salvo', 'Giovane Élber', 'Claudio Pizarro', 'Carsten Jancker', 'Alexander Zickler', 'Roque Santa Cruz']"
